A,B,C,D,E,F,G,H
TEAM013,여신기획팀,5,DEPT007,여신기획팀장,active,4,"중소기업 및 개인사업자 여신 심사, 신용평가 모델 운영, 소호(SOHO) 대출 심사 등을 전담하는 중소기업 여신심사팀입니다."
TEAM014,영업관리팀,5,DEPT007,영업관리팀장,active,4,"개인 신용대출, 주택담보대출 심사, 개인신용평가 시스템 운영 등을 담당하는 개인여신 전문 심사팀입니다."
TEAM015,영업FRONT(Non-PL),5,DEPT007,영업FRONT(Non-PL)장,active,4,"수도권 지역 영업점 관리, 신규 고객 유치 전략 수립, 지역별 맞춤 상품 판매 등을 담당하는 수도권 리테일 영업팀입니다."
DEPT008,모기지사업부,4,HQ004,모기지사업부장,active,4,"개인고객 영업전략 수립, 영업점 관리, 상품개발 협업, 영업 캠페인 기획 등을 통해 리테일 부문의 수익 극대화와 고객기반 확대를 추진하는 소매금융 관리부서입니다."
TEAM016,모기지영업팀,5,DEPT008,모기지영업팀장,active,4,"지방 지역 영업점 관리, 지역 특화 금융서비스 제공, 지역사회 연계 마케팅 등을 수행하는 지방 리테일 영업팀입니다."
TEAM017,모기지업무지원팀,5,DEPT008,모기지업무지원팀장,active,4,"VIP 고객 관리, 자산관리 서비스, PB 영업 등 고액 자산가를 위한 프리미엄 금융서비스를 제공하는 자산관리 전문팀입니다."
TEAM018,모기지기획팀,5,DEPT008,모기지기획팀장,active,4,"신용 VaR 산출, 신용등급 이행률 분석, 부도율 예측 모델 개발 등을 통해 신용리스크를 계량화하고 관리하는 신용리스크 분석팀입니다."
TEAM019,모기지관리팀,5,DEPT008,모기지관리팀장,active,4,"금리, 환율, 주가 등 시장리스크 측정, 트레이딩 포지션 모니터링, 파생상품 리스크 관리 등을 담당하는 시장리스크 전문팀입니다."
TEAM020,담보지원팀,5,DEPT008,담보지원팀장,active,4,"운영리스크 시나리오 분석, 핵심위험지표(KRI) 관리, 업무 프로세스 리스크 평가 등을 수행하는 운영리스크 관리팀입니다."
HQ005,미래디지털본부,3,COM001,미래디지털본부장,active,5,"디지털 전환(DT) 전략 수립 및 실행, 핵심 IT 시스템 구축/운영, 데이터 분석 및 AI/빅데이터 활용을 통해 그룹의 디지털 경쟁력 강화를 주도하는 기술혁신 조직입니다."
DEPT009,미래디지털부,4,HQ005,미래디지털부장,active,5,"디지털 금융 플랫폼 구축, 핀테크 제휴, 빅데이터 분석, AI 서비스 개발 등을 통해 디지털 기반의 혁신적인 금융서비스를 창출하는 디지털 전환 주도부서입니다."
TEAM021,AI팀,5,DEPT009,AI팀장,active,5,"연간 감사계획 수립, 감사 방법론 개발, 감사 결과 분석 및 보고 등 감사업무 전반을 기획하고 조정하는 감사 기획팀입니다."
TEAM022,RPA팀,5,DEPT009,RPA팀장,active,5,"영업점 정기감사, 영업 규정 준수 점검, 불건전 영업행위 조사 등을 통해 영업 현장의 건전성을 확보하는 영업 감사팀입니다."
TEAM023,IT개발운영팀,5,DEPT009,IT개발운영팀장,active,5,"본부 부서 감사, 경영 프로세스 진단, IT 시스템 감사 등을 수행하여 경영 효율성과 내부통제를 강화하는 경영 감사팀입니다."
TEAM024,마이데이터팀,5,DEPT009,마이데이터팀장,active,5,"법규 변경사항 모니터링, 내규 제/개정, 준법 교육, 법률 자문 등을 통해 전사적 준법경영을 지원하는 컴플라이언스 실무팀입니다."
HQ006,심사본부,3,COM001,심사본부장,active,6,"신용, 시장, 운영, 유동성 등 각종 리스크의 식별/측정/관리를 통해 안정적인 경영환경을 조성하고, 규제 준수 및 내부통제 강화로 건전성을 확보하는 리스크 전문조직입니다."
DEPT010,심사1부,4,HQ006,심사1부장,active,6,"핵심 뱅킹 시스템 개발/유지보수, 신규 서비스 시스템 구축, API 개발, 시스템 통합 등을 수행하여 안정적이고 효율적인 IT 인프라를 제공하는 시스템 개발부서입니다."
TEAM025,여신심사1팀,5,DEPT010,여신심사1팀장,active,6,"계정계 시스템, 여수신 시스템 등 핵심 뱅킹 시스템의 개발과 유지보수를 담당하며, 안정적인 금융 거래 처리를 보장하는 코어뱅킹 개발팀입니다."
TEAM026,여신심사2팀,5,DEPT010,여신심사2팀장,active,6,"정보계 시스템, 리스크관리 시스템, 경영정보 시스템 등의 개발을 담당하며, 데이터 기반 의사결정을 지원하는 정보시스템 개발팀입니다."
DEPT011,심사2부,4,HQ006,심사2부장,active,6,"전산 시스템 운영, 네트워크/서버 관리, 정보보안, 재해복구 체계 운영 등을 통해 24/7 무중단 금융 서비스 제공을 보장하는 IT 인프라 운영부서입니다."
TEAM027,여신심사3팀,5,DEPT011,여신심사3팀장,active,6,"서버, 네트워크, 데이터베이스 등 IT 인프라의 운영과 관리를 담당하며, 24시간 무중단 서비스를 보장하는 인프라 운영팀입니다."
TEAM028,심사기획팀,5,DEPT011,심사기획팀장,active,6,"정보보안, 재해복구, 시스템 모니터링 등을 담당하며, 사이버 위협으로부터 시스템을 보호하고 업무 연속성을 확보하는 보안운영팀입니다."
DEPT012,모기지심사부,4,HQ006,모기지심사부장,active,6,"신용리스크 측정 모델 개발, 신용등급 산정, 예상손실 산출, 스트레스 테스트 등을 통해 신용리스크를 정량화하고 관리방안을 수립하는 리스크 분석부서입니다."
TEAM029,모기지심사팀,5,DEPT012,모기지심사팀장,active,6,"모바일뱅킹, 인터넷뱅킹 앱/웹 개발, UI/UX 개선, 신기술 적용 등을 통해 고객의 디지털 뱅킹 경험을 혁신하는 디지털채널 개발조직입니다."
HQ007,마케팅본부,3,COM001,마케팅본부장,active,7,"독립적인 내부감사 수행을 통해 업무 프로세스의 적정성 검증, 부정/오류 예방, 경영 효율성 제고를 담당하며, 투명하고 건전한 기업문화 정착에 기여하는 감독조직입니다."
DEPT013,마케팅부,4,HQ007,마케팅부장,active,7,"업무 프로세스 리스크 평가, 운영손실 데이터 관리, 업무연속성계획(BCP) 수립 등을 통해 운영상 발생 가능한 리스크를 예방하고 관리하는 운영리스크 전문부서입니다."
TEAM030,마케팅팀,5,DEPT013,마케팅팀장,active,7,"디지털 채널 운영, 장애 대응, 고객 피드백 분석, 서비스 개선 등을 통해 안정적이고 편리한 디지털 금융 서비스를 제공하는 채널 운영조직입니다."
TEAM031,디자인팀,5,DEPT013,디자인팀장,active,7,"기업대출 영업, 신규 기업고객 발굴, 기업 금융 컨설팅 등을 통해 기업 여신 확대를 추진하는 기업대출 영업팀입니다."
TEAM032,UI/UX팀,5,DEPT013,UI/UX팀장,active,7,"개인대출 상품 판매, 주택담보대출 상담, 전세자금대출 등 개인고객 대출 영업을 전담하는 개인대출 영업팀입니다."
DEPT014,리테일기획부,4,HQ007,리테일기획부장,active,7,"영업부문에 대한 정기/수시 감사, 금융사고 조사, 영업점 컴플라이언스 점검 등을 통해 영업 현장의 건전성과 규정 준수를 확보하는 영업감사 부서입니다."
TEAM033,리테일기획팀,5,DEPT014,리테일기획팀장,active,7,"CTR/STR 보고, 고객확인절차(KYC) 운영, AML 시스템 관리 등을 통해 자금세탁 및 테러자금조달을 방지하는 AML 실무팀입니다."
TEAM034,디지털데이터팀,5,DEPT014,디지털데이터팀장,active,7,
TEAM035,디지털운영팀,5,DEPT014,디지털운영팀장,active,7,
HQ008,신용관리본부,3,COM001,신용관리본부장,active,8,"윤리강령 제정 및 실천, 준법감시, 내부신고제도 운영 등을 통해 임직원의 윤리의식 제고와 공정하고 투명한 기업문화 구축을 선도하는 윤리경영 전담조직입니다."
DEPT015,신용관리부,4,HQ008,신용관리부장,active,8,"본부부서 및 IT 시스템에 대한 감사, 경영진 특명감사, 프로세스 개선 제안 등을 통해 경영 효율성 제고와 내부통제 강화를 담당하는 경영감사 부서입니다."
TEAM036,신용기획팀,5,DEPT015,신용기획팀장,active,8,
TEAM037,CSS관리팀,5,DEPT015,CSS관리팀장,active,8,
TEAM038,신용관리팀,5,DEPT015,신용관리팀장,active,8,
HQ009,소비자금융본부,3,COM001,소비자금융본부장,active,9,"고객 문의사항 응대, 불만/민원 처리, VOC 분석을 통한 서비스 개선 등 고객만족도 향상을 위한 통합 고객서비스를 제공하는 고객접점 운영조직입니다."
DEPT016,소비자금융기획부,4,HQ009,소비자금융기획부장,active,9,"자금세탁 방지 시스템 운영, 의심거래 보고(STR), 고객확인의무(CDD) 이행, 금융정보분석원 대응 등을 통해 금융범죄를 예방하는 AML 전문부서입니다."
TEAM039,소비자금융기획팀,5,DEPT016,소비자금융기획팀장,active,9,
TEAM040,채널기획팀,5,DEPT016,채널기획팀장,active,9,
DEPT017,소비자금융영업부,4,HQ009,소비자금융영업부장,active,9,"금융소비자보호 정책 수립, 민원 처리 프로세스 관리, 불완전판매 예방, 금융교육 프로그램 운영 등을 통해 고객 권익을 보호하는 소비자보호 전담부서입니다."
TEAM041,디지털센터기획팀,5,DEPT017,디지털센터기획팀장,active,9,
TEAM042,영업추진팀,5,DEPT017,영업추진팀장,active,9,
TEAM043,영업FRONT(PL/NPL),5,DEPT017,영업FRONT(PL/NPL)장,active,9,
HQ010,내부통제본부(가상),3,COM001,내부통제본부(가상)장,active,10,"금융관련 법규 준수 여부 모니터링, 내부통제 시스템 구축/운영, 자금세탁방지(AML) 등을 통해 법적 리스크를 최소화하고 건전한 금융질서 확립에 기여하는 컴플라이언스 조직입니다."
DEPT018,감사부,4,HQ010,감사부장,active,10,"기업 및 개인 대출 영업전략 수립, 대출 상품 개발, 영업 채널 관리, 대출 실적 분석 등을 통해 대출 자산의 양적/질적 성장을 추진하는 여신영업 부서입니다."
TEAM044,감사팀,5,DEPT018,감사팀장,active,10,
TEAM045,검사팀,5,DEPT018,검사팀장,active,10,
DEPT019,정보보안부,4,HQ010,정보보안부장,active,10,"부실채권 관리, 담보물 처분, 채권 회수 전략 수립, 특수채권 관리 등을 통해 부실자산의 조기 정상화와 손실 최소화를 도모하는 자산건전성 관리부서입니다."
TEAM046,정보보안팀,5,DEPT019,정보보안팀장,active,10,
DEPT020,준법지원부,4,HQ010,준법지원부장,active,10,"중소/중견기업 금융 지원, 정책자금 연계 대출, 기업 컨설팅 서비스 등을 통해 기업고객과의 동반성장을 추구하는 기업금융 전문부서입니다."
TEAM047,준법지원팀,5,DEPT020,준법지원팀장,active,10,
DEPT021,금융소비자보호부,4,HQ010,금융소비자보호부장,active,10,"외화자금 조달/운용, 해외 금융기관 제휴, 무역금융, 외환 딜링 등을 수행하여 국제금융 역량을 강화하고 글로벌 비즈니스를 확대하는 국제업무 부서입니다."
TEAM048,금융소비자보호팀,5,DEPT021,금융소비자보호팀장,active,10,
DEPT022,리스크관리부,4,HQ010,리스크관리부장,active,10,"브랜드 전략 수립, 마케팅 캠페인 기획/실행, 고객 세분화, CRM 전략 등을 통해 브랜드 가치 제고와 고객 유치/유지를 담당하는 마케팅 전략부서입니다."
TEAM049,리스크관리팀,5,DEPT022,리스크관리팀장,active,10,
TEAM050,여신감리팀,5,DEPT022,여신감리팀장,active,10,
